n,k,order
5.000000000000000000e+01,4.000000000000000222e-01,1.172276414089642865e-01
5.000000000000000000e+01,8.000000000000000444e-01,1.529952959516003297e-01
5.000000000000000000e+01,1.199999999999999956e+00,1.903961260515645570e-01
1.000000000000000000e+02,4.000000000000000222e-01,9.668390564002658782e-02
1.000000000000000000e+02,8.000000000000000444e-01,1.003068973191415664e-01
1.000000000000000000e+02,1.199999999999999956e+00,2.032379458151334917e-01
2.000000000000000000e+02,4.000000000000000222e-01,6.168994539641611818e-02
2.000000000000000000e+02,8.000000000000000444e-01,8.579039870568871962e-02
2.000000000000000000e+02,1.199999999999999956e+00,1.445650410776698203e-01
